,JNJ,ABBV,LLY,MSFT,NVDA,AVGO,NEE,PLD,CCI,PSA
2019-12-30,137.09713745117188,79.2155990600586,126.2700424194336,154.3227081298828,57.92385482788086,289.1672668457031,57.64368438720703,84.44420623779297,131.9703369140625,196.7375946044922
2019-12-31,137.63494873046875,79.23351287841797,126.39505004882812,154.43043518066406,58.66685104370117,291.52880859375,57.85153579711914,84.71028900146484,132.67031860351562,198.36767578125
2020-01-01,137.63494873046875,79.23351287841797,126.39505004882812,154.43043518066406,58.66685104370117,291.52880859375,57.85153579711914,84.71028900146484,132.67031860351562,198.36767578125
2020-01-02,137.7292938232422,80.1373519897461,127.14517974853516,157.28990173339844,59.816253662109375,297.4051818847656,57.005828857421875,84.007080078125,132.23167419433594,196.9331817626953
2020-01-03,136.1346893310547,79.37669372558594,126.72203063964844,155.33135986328125,58.85883331298828,289.8407287597656,57.41196060180664,84.94786834716797,132.9596710205078,199.0569610595703
2020-01-06,135.96487426757812,80.00310516357422,127.19326782226562,155.7328643798828,59.10566711425781,289.4070739746094,57.69863510131836,84.6152572631836,131.8396759033203,199.76490783691406
2020-01-07,136.795166015625,79.54671478271484,127.43367767333984,154.3129119873047,59.821231842041016,288.4107971191406,57.648468017578125,84.07359313964844,129.6090850830078,198.97312927246094
2020-01-08,136.77633666992188,80.1104965209961,128.58770751953125,156.7708740234375,59.933433532714844,284.81304931640625,57.622188568115234,84.52972412109375,130.15036010742188,199.33641052246094
2020-01-09,137.18202209472656,80.72797393798828,130.71304321289062,158.72940063476562,60.59165954589844,282.52520751953125,58.07369613647461,84.53923034667969,130.89703369140625,199.42022705078125
2020-01-10,136.87066650390625,79.69884490966797,132.71337890625,157.9949493408203,60.91577911376953,276.03082275390625,58.183597564697266,84.9953842163086,132.90362548828125,201.0316925048828
2020-01-13,137.47451782226562,79.2155990600586,133.61737060546875,159.89474487304688,62.82563781738281,277.83892822265625,58.86445617675781,87.23811340332031,133.73431396484375,201.9259033203125
2020-01-14,138.2482452392578,79.99560546875,135.26182556152344,158.76858520507812,61.65379333496094,284.29644775390625,59.18219757080078,86.12625122070312,132.48365783691406,201.48812866210938
2020-01-15,138.7105712890625,80.95701599121094,135.7042236328125,159.79681396484375,61.227447509765625,279.64703369140625,60.101951599121094,87.62773895263672,134.44361877441406,203.29519653320312
2020-01-16,139.83338928222656,80.95701599121094,136.01197814941406,162.7248077392578,62.065185546875,283.2539978027344,60.26678466796875,88.71107482910156,135.544921875,204.94390869140625
2020-01-17,140.74862670898438,79.81421661376953,134.2328338623047,163.6355438232422,62.15245056152344,284.859130859375,60.536739349365234,89.5853500366211,135.56361389160156,205.62388610839844
2020-01-20,140.74862670898438,79.81421661376953,134.2328338623047,163.6355438232422,62.15245056152344,284.859130859375,60.536739349365234,89.5853500366211,135.56361389160156,205.62388610839844
2020-01-21,140.84300231933594,79.80513763427734,135.51187133789062,163.04795837402344,61.8183479309082,284.1949462890625,61.37049865722656,90.82077026367188,138.3262176513672,207.39369201660156
2020-01-22,139.88055419921875,79.09770202636719,136.13699340820312,162.26455688476562,62.35939407348633,288.7152404785156,62.08957290649414,89.27175903320312,138.77418518066406,205.84744262695312
2020-01-23,140.14474487304688,77.3381576538086,135.80039978027344,163.26341247558594,63.0450439453125,294.8775329589844,62.13258743286133,90.94429779052734,139.79151916503906,207.906005859375
2020-01-24,139.9466094970703,75.76908874511719,133.74240112304688,161.6182403564453,62.45164489746094,298.890380859375,63.002166748046875,91.37194061279297,139.9035186767578,209.08900451660156
